p1,k1,k2,k3,k4,k5,con
participant_id,participant_id,participant_id,participant_id,participant_id,participant_id,devGenes_id
kdocs_p1_timestamp,kdocs_timestamp,kdocs_2_timestamp,kdocs_3_timestamp,kdocs_4_timestamp,kdocs_5_timestamp,timestamp
figuring_out_how_to_fix_a_p1,figuring_out_how_to_fix_a,figuring_out_how_to_fix_a_v2,figuring_out_how_to_fix_a_v2_v3,figuring_out_how_to_fix_a_v2_v3_v4,figuring_out_how_to_fix_a_v2_v3_v4_v5,fixing_things
making_up_lyrics_to_a_funn_p1,making_up_lyrics_to_a_funn,making_up_lyrics_to_a_funn_v2,making_up_lyrics_to_a_funn_v2_v3,making_up_lyrics_to_a_funn_v2_v3_v4,making_up_lyrics_to_a_funn_v2_v3_v4_v5,making_up_lyrics
planning_a_trip_or_event_w_p1,planning_a_trip_or_event_w,planning_a_trip_or_event_w_v2,planning_a_trip_or_event_w_v2_v3,planning_a_trip_or_event_w_v2_v3_v4,planning_a_trip_or_event_w_v2_v3_v4_v5,planning_a_trip_or_event
spontaneously_creating_lyr_p1,spontaneously_creating_lyr,spontaneously_creating_lyr_v2,spontaneously_creating_lyr_v2_v3,spontaneously_creating_lyr_v2_v3_v4,spontaneously_creating_lyr_v2_v3_v4_v5,spontaneously_creating_lyrics
getting_people_to_feel_rel_p1,getting_people_to_feel_rel,getting_people_to_feel_rel_v2,getting_people_to_feel_rel_v2_v3,getting_people_to_feel_rel_v2_v3_v4,getting_people_to_feel_rel_v2_v3_v4_v5,getting_people_to_feel_relaxed
doodling_drawing_random_or_p1,doodling_drawing_random_or,doodling_drawing_random_or_v2,doodling_drawing_random_or_v2_v3,doodling_drawing_random_or_v2_v3_v4,doodling_drawing_random_or_v2_v3_v4_v5,drawing_random_geometrics
making_a_sculpture_or_piec_p1,making_a_sculpture_or_piec,making_a_sculpture_or_piec_v2,making_a_sculpture_or_piec_v2_v3,making_a_sculpture_or_piec_v2_v3_v4,making_a_sculpture_or_piec_v2_v3_v4_v5,making_a_sculpture
finding_something_fun_to_d_p1,finding_something_fun_to_d,finding_something_fun_to_d_v2,finding_something_fun_to_d_v2_v3,finding_something_fun_to_d_v2_v3_v4,finding_something_fun_to_d_v2_v3_v4_v5,finding_something_fun_wo_money
arguing_a_side_in_a_debate_p1,arguing_a_side_in_a_debate,arguing_a_side_in_a_debate_v2,arguing_a_side_in_a_debate_v2_v3,arguing_a_side_in_a_debate_v2_v3_v4,arguing_a_side_in_a_debate_v2_v3_v4_v5,arguing_a_side_in_a_debate
solving_a_complex_math_pro_p1,solving_a_complex_math_pro,solving_a_complex_math_pro_v2,solving_a_complex_math_pro_v2_v3,solving_a_complex_math_pro_v2_v3_v4,solving_a_complex_math_pro_v2_v3_v4_v5,solving_a_complex_math_prob
gathering_the_best_possibl_p1,gathering_the_best_possibl,gathering_the_best_possibl_v2,gathering_the_best_possibl_v2_v3,gathering_the_best_possibl_v2_v3_v4,gathering_the_best_possibl_v2_v3_v4_v5,gathering_best_possible_assortment
understanding_how_to_make_p1,understanding_how_to_make,understanding_how_to_make_v2,understanding_how_to_make_v2_v3,understanding_how_to_make_v2_v3_v4,understanding_how_to_make_v2_v3_v4_v5,make_myself_happy
writing_a_letter_to_the_ed_p1,writing_a_letter_to_the_ed,writing_a_letter_to_the_ed_v2,writing_a_letter_to_the_ed_v2_v3,writing_a_letter_to_the_ed_v2_v3_v4,writing_a_letter_to_the_ed_v2_v3_v4_v5,writing_a_letter_to_the_editor
